WTP,Boost,noBoost,strategy
27600,0.9316,0.0684,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
27700,0.9314,0.0686,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
27800,0.9312,0.0688,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
27900,0.9312,0.0688,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
28000,0.9312,0.0688,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
28100,0.931,0.069,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
28200,0.9312,0.0688,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
28300,0.9312,0.0688,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
28400,0.9312,0.0688,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
28500,0.9312,0.0688,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
28600,0.9312,0.0688,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
28700,0.9312,0.0688,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
28800,0.9312,0.0688,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
28900,0.9312,0.0688,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
29000,0.931,0.069,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
29100,0.931,0.069,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
29200,0.931,0.069,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
29300,0.9308,0.0692,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
29400,0.9308,0.0692,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
29500,0.9308,0.0692,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
29600,0.9308,0.0692,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
29700,0.9306,0.0694,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
29800,0.9306,0.0694,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
29900,0.9306,0.0694,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
30000,0.9304,0.0696,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
30100,0.9304,0.0696,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
30200,0.9306,0.0694,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
30300,0.9306,0.0694,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
30400,0.9306,0.0694,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
30500,0.9304,0.0696,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
30600,0.9304,0.0696,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
30700,0.9304,0.0696,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
30800,0.9304,0.0696,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
30900,0.9304,0.0696,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
31000,0.9304,0.0696,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
31100,0.9302,0.0698,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
31200,0.9302,0.0698,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
31300,0.93,0.07,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
31400,0.93,0.07,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
31500,0.93,0.07,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
31600,0.93,0.07,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
31700,0.9298,0.0702,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
31800,0.9298,0.0702,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
31900,0.9298,0.0702,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
32000,0.9298,0.0702,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
32100,0.9298,0.0702,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
32200,0.9296,0.0704,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
32300,0.9292,0.0708,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
32400,0.929,0.071,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
32500,0.929,0.071,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
32600,0.929,0.071,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
32700,0.9288,0.0712,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
32800,0.9288,0.0712,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
32900,0.9288,0.0712,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
33000,0.9286,0.0714,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
33100,0.9284,0.0716,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
33200,0.9284,0.0716,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
33300,0.9284,0.0716,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
33400,0.9284,0.0716,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
33500,0.9284,0.0716,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
33600,0.9284,0.0716,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
33700,0.9284,0.0716,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
33800,0.9284,0.0716,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
33900,0.9284,0.0716,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
34000,0.9282,0.0718,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
34100,0.9282,0.0718,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
34200,0.9282,0.0718,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
34300,0.9282,0.0718,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
34400,0.9282,0.0718,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
34500,0.928,0.072,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
34600,0.9278,0.0722,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
34700,0.9278,0.0722,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
34800,0.9278,0.0722,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
34900,0.9278,0.0722,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
35000,0.9276,0.0724,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
35100,0.9276,0.0724,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
35200,0.9276,0.0724,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
35300,0.9278,0.0722,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
35400,0.9278,0.0722,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
35500,0.9276,0.0724,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
35600,0.9276,0.0724,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
35700,0.9276,0.0724,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
35800,0.9272,0.0728,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
35900,0.9272,0.0728,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
36000,0.9272,0.0728,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
36100,0.9272,0.0728,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
36200,0.927,0.073,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
36300,0.9268,0.0732,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
36400,0.9268,0.0732,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
36500,0.9266,0.0734,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
36600,0.9266,0.0734,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
36700,0.9266,0.0734,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
36800,0.9266,0.0734,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
36900,0.9268,0.0732,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
37000,0.9268,0.0732,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
37100,0.9266,0.0734,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
37200,0.9266,0.0734,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
37300,0.9266,0.0734,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
37400,0.9266,0.0734,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
37500,0.9266,0.0734,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
37600,0.9266,0.0734,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
37700,0.9266,0.0734,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
37800,0.9266,0.0734,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
37900,0.9266,0.0734,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
38000,0.9266,0.0734,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
38100,0.9262,0.0738,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
38200,0.9262,0.0738,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
38300,0.9264,0.0736,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
38400,0.9264,0.0736,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
38500,0.926,0.074,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
38600,0.926,0.074,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
38700,0.926,0.074,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
38800,0.926,0.074,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
38900,0.9258,0.0742,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
39000,0.9258,0.0742,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
39100,0.9258,0.0742,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
39200,0.9258,0.0742,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
39300,0.9258,0.0742,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
39400,0.9258,0.0742,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
39500,0.9258,0.0742,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
39600,0.9258,0.0742,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
39700,0.9258,0.0742,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
39800,0.9256,0.0744,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
39900,0.9256,0.0744,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
40000,0.9256,0.0744,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
0,0.08,0.92,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
100,0.0806,0.9194,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
200,0.0802,0.9198,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
300,0.0818,0.9182,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
400,0.0826,0.9174,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
500,0.0832,0.9168,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
600,0.0846,0.9154,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
700,0.0852,0.9148,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
800,0.0856,0.9144,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
900,0.0864,0.9136,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
1000,0.0886,0.9114,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
1100,0.0906,0.9094,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
1200,0.0922,0.9078,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
1300,0.0938,0.9062,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
1400,0.095,0.905,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
1500,0.0962,0.9038,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
1600,0.097,0.903,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
1700,0.0986,0.9014,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
1800,0.1,0.9,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
1900,0.102,0.898,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
2000,0.1036,0.8964,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
2100,0.106,0.894,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
2200,0.1082,0.8918,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
2300,0.1114,0.8886,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
2400,0.1148,0.8852,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
2500,0.117,0.883,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
2600,0.1194,0.8806,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
2700,0.1212,0.8788,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
2800,0.1226,0.8774,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
2900,0.1246,0.8754,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
3000,0.1274,0.8726,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
3100,0.1292,0.8708,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
3200,0.1308,0.8692,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
3300,0.1332,0.8668,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
3400,0.135,0.865,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
3500,0.136,0.864,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
3600,0.1386,0.8614,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
3700,0.1408,0.8592,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
3800,0.1442,0.8558,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
3900,0.1466,0.8534,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
4000,0.1488,0.8512,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
4100,0.1528,0.8472,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
4200,0.1556,0.8444,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
4300,0.1574,0.8426,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
4400,0.1606,0.8394,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
4500,0.1626,0.8374,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
4600,0.1648,0.8352,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
4700,0.1678,0.8322,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
4800,0.1708,0.8292,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
4900,0.1734,0.8266,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
5000,0.1754,0.8246,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
5100,0.177,0.823,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
5200,0.179,0.821,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
5300,0.1816,0.8184,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
5400,0.1844,0.8156,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
5500,0.1866,0.8134,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
5600,0.189,0.811,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
5700,0.1916,0.8084,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
5800,0.1938,0.8062,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
5900,0.1952,0.8048,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
6000,0.1976,0.8024,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
6100,0.1988,0.8012,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
6200,0.2008,0.7992,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
6300,0.2024,0.7976,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
6400,0.2052,0.7948,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
6500,0.207,0.793,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
6600,0.2092,0.7908,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
6700,0.2112,0.7888,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
6800,0.212,0.788,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
6900,0.214,0.786,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
7000,0.217,0.783,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
7100,0.2188,0.7812,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
7200,0.2208,0.7792,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
7300,0.2228,0.7772,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
7400,0.224,0.776,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
7500,0.2264,0.7736,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
7600,0.2286,0.7714,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
7700,0.2302,0.7698,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
7800,0.2316,0.7684,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
7900,0.2336,0.7664,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
8000,0.2346,0.7654,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
8100,0.2366,0.7634,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
8200,0.2376,0.7624,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
8300,0.239,0.761,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
8400,0.2416,0.7584,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
8500,0.2436,0.7564,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
8600,0.2452,0.7548,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
8700,0.2476,0.7524,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
8800,0.2486,0.7514,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
8900,0.2508,0.7492,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
9000,0.2522,0.7478,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
9100,0.2554,0.7446,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
9200,0.2572,0.7428,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
9300,0.258,0.742,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
9400,0.2598,0.7402,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
9500,0.2628,0.7372,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
9600,0.2642,0.7358,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
9700,0.2654,0.7346,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
9800,0.267,0.733,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
9900,0.2678,0.7322,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
10000,0.2696,0.7304,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
10100,0.2716,0.7284,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
10200,0.2726,0.7274,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
10300,0.2738,0.7262,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
10400,0.275,0.725,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
10500,0.2768,0.7232,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
10600,0.278,0.722,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
10700,0.2788,0.7212,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
10800,0.2794,0.7206,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
10900,0.2804,0.7196,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
11000,0.2806,0.7194,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
11100,0.2828,0.7172,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
11200,0.2844,0.7156,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
11300,0.2864,0.7136,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
11400,0.2868,0.7132,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
11500,0.2872,0.7128,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
11600,0.2886,0.7114,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
11700,0.2904,0.7096,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
11800,0.2914,0.7086,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
11900,0.2924,0.7076,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
12000,0.2934,0.7066,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
12100,0.2942,0.7058,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
12200,0.2952,0.7048,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
12300,0.2966,0.7034,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
12400,0.2978,0.7022,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
12500,0.2988,0.7012,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
12600,0.3004,0.6996,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
12700,0.3008,0.6992,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
12800,0.3022,0.6978,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
12900,0.3038,0.6962,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
13000,0.3042,0.6958,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
13100,0.305,0.695,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
13200,0.30620000000000003,0.6938,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
13300,0.3068,0.6932,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
13400,0.3072,0.6928,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
13500,0.3074,0.6926,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
13600,0.309,0.691,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
13700,0.3098,0.6902,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
13800,0.3104,0.6896,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
13900,0.3116,0.6884,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
14000,0.312,0.688,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
14100,0.3132,0.6868,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
14200,0.3142,0.6858,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
14300,0.3146,0.6854,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
14400,0.315,0.685,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
14500,0.3158,0.6842,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
14600,0.3162,0.6838,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
14700,0.3166,0.6834,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
